code,count,elapsed_sec,downloaded_at
sh.600000,472,1.34,2026-05-17T15:18:15.225752
sh.600004,472,3.34,2026-05-17T15:18:18.591993
sh.600006,472,1.58,2026-05-17T15:18:20.199297
sh.600007,472,0.73,2026-05-17T15:18:20.956987
sh.600008,472,1.25,2026-05-17T15:18:22.230750
sh.600009,472,0.55,2026-05-17T15:18:22.804131
sh.600010,472,0.57,2026-05-17T15:18:23.393073
sh.600011,472,1.36,2026-05-17T15:18:24.776739
sh.600012,472,0.9,2026-05-17T15:18:25.698149
sh.600015,472,1.17,2026-05-17T15:18:26.891492
sh.600016,472,0.54,2026-05-17T15:18:27.452406
sh.600017,472,0.91,2026-05-17T15:18:28.384524
sh.600018,472,0.95,2026-05-17T15:18:29.356279
sh.600019,472,0.67,2026-05-17T15:18:30.052708
sh.600020,472,2.08,2026-05-17T15:18:32.155765
sh.600021,472,0.52,2026-05-17T15:18:32.702431
sh.600022,472,1.05,2026-05-17T15:18:33.774956
sh.600023,472,1.54,2026-05-17T15:18:35.337384
sh.600025,472,0.58,2026-05-17T15:18:35.973154
sh.600026,472,0.9,2026-05-17T15:18:36.898079
sh.600028,472,0.98,2026-05-17T15:18:38.724561
sh.600029,472,0.47,2026-05-17T15:18:39.220579
sh.600030,472,0.83,2026-05-17T15:18:40.073882
sh.600031,472,1.16,2026-05-17T15:18:41.260047
sh.600032,472,0.35,2026-05-17T15:18:41.636497
sh.600033,472,1.33,2026-05-17T15:18:42.990348
sh.600035,472,1.53,2026-05-17T15:18:44.552265
sh.600036,472,0.93,2026-05-17T15:18:45.512396
sh.600037,472,1.05,2026-05-17T15:18:46.588781
sh.600038,472,0.52,2026-05-17T15:18:47.133086
sh.600039,472,2.3,2026-05-17T15:18:49.460672
sh.600048,472,0.75,2026-05-17T15:18:50.236725
sh.600050,472,0.68,2026-05-17T15:18:50.939682
sh.600051,472,0.8,2026-05-17T15:18:51.759578
sh.600052,472,0.6,2026-05-17T15:18:52.383958
sh.600054,472,1.23,2026-05-17T15:18:53.933956
sh.600055,472,0.53,2026-05-17T15:18:54.481759
sh.600056,472,0.73,2026-05-17T15:18:55.229996
sh.600057,472,0.47,2026-05-17T15:18:55.723548
sh.600059,472,1.57,2026-05-17T15:18:58.437071
sh.600060,472,1.43,2026-05-17T15:18:59.896043
sh.600061,472,1.1,2026-05-17T15:19:01.021089
sh.600062,472,1.16,2026-05-17T15:19:02.202073
sh.600063,472,0.68,2026-05-17T15:19:02.908450
sh.600064,472,0.67,2026-05-17T15:19:03.597526
sh.600066,472,2.04,2026-05-17T15:19:05.664050
sh.600067,472,1.5,2026-05-17T15:19:07.183679
sh.600071,472,2.71,2026-05-17T15:19:09.918490
